Ctstomer_id,Order ID,Order Date,Ship Mode,Segment,Value
12,CA-2011-103366,2013-01-15,First Class,Consumer,149.95
21,CA-2011-109043,2013-08-15,First Class,Consumer,243.6
30,CA-2011-113166,2013-12-24,First Class,Consumer,9.568
52,CA-2011-124023,2013-04-07,First Class,Consumer,8.96
64,CA-2011-130155,2013-05-19,First Class,Consumer,34.2
77,CA-2011-136861,2013-09-05,First Class,Consumer,31.984
105,CA-2011-153927,2013-08-12,First Class,Consumer,286.65
114,CA-2011-157784,2013-07-05,First Class,Consumer,514.03
120,CA-2011-160094,2013-04-30,First Class,Consumer,1000.95
129,CA-2011-164749,2013-03-23,First Class,Consumer,9.912
135,CA-2011-166730,2013-12-30,First Class,Consumer,39.128
147,CA-2012-102722,2014-04-18,First Class,Consumer,106.5
148,CA-2012-102778,2014-11-21,First Class,Consumer,18.176
180,CA-2012-117828,2014-12-23,First Class,Consumer,194.32
205,CA-2012-130218,2014-03-23,First Class,Consumer,59.48
207,CA-2012-132318,2014-10-30,First Class,Consumer,182.91
221,CA-2012-137974,2014-04-16,First Class,Consumer,2298.9
223,CA-2012-138625,2014-11-02,First Class,Consumer,197.72
227,CA-2012-141327,2014-11-30,First Class,Consumer,440.144
242,CA-2012-149300,2014-11-22,First Class,Consumer,32.985
246,CA-2012-150560,2014-12-11,First Class,Consumer,196.62
279,CA-2012-165414,2014-12-21,First Class,Consumer,47.976
294,CA-2013-102092,2015-12-10,First Class,Consumer,1056.86
296,CA-2013-102498,2015-07-25,First Class,Consumer,73.2
314,CA-2013-110492,2015-02-12,First Class,Consumer,1366.04
339,CA-2013-119515,2015-08-15,First Class,Consumer,15.552
340,CA-2013-119823,2015-06-05,First Class,Consumer,75.88
351,CA-2013-124772,2015-12-06,First Class,Consumer,191.82
353,CA-2013-125843,2015-08-14,First Class,Consumer,125.92
358,CA-2013-130442,2015-12-17,First Class,Consumer,34.944
367,CA-2013-133872,2015-06-15,First Class,Consumer,58.4
395,CA-2013-145247,2015-05-06,First Class,Consumer,79.14
396,CA-2013-145499,2015-05-31,First Class,Consumer,3.282
402,CA-2013-147368,2015-06-10,First Class,Consumer,695.7
424,CA-2013-157280,2015-11-06,First Class,Consumer,1120.73
425,CA-2013-157364,2015-11-20,First Class,Consumer,18.48
449,CA-2013-164784,2015-05-02,First Class,Consumer,377.346
477,CA-2014-103212,2016-10-13,First Class,Consumer,1541.51
482,CA-2014-105620,2016-12-25,First Class,Consumer,141.0
489,CA-2014-108287,2016-12-18,First Class,Consumer,12.672
492,CA-2014-109589,2016-12-21,First Class,Consumer,71.0
493,CA-2014-110198,2016-05-01,First Class,Consumer,318.96
497,CA-2014-112774,2016-09-11,First Class,Consumer,34.504
505,CA-2014-115448,2016-11-11,First Class,Consumer,88.92
520,CA-2014-121314,2016-09-23,First Class,Consumer,251.64
523,CA-2014-121818,2016-11-20,First Class,Consumer,52.696
525,CA-2014-122154,2016-04-09,First Class,Consumer,284.19
529,CA-2014-122994,2016-02-07,First Class,Consumer,359.97
538,CA-2014-125472,2016-05-30,First Class,Consumer,253.86
544,CA-2014-126774,2016-04-15,First Class,Consumer,4.89
568,CA-2014-133235,2016-08-01,First Class,Consumer,271.96
580,CA-2014-138779,2016-01-15,First Class,Consumer,29.664
595,CA-2014-143756,2016-12-02,First Class,Consumer,701.96
625,CA-2014-151218,2016-06-20,First Class,Consumer,4.464
641,CA-2014-156769,2016-05-06,First Class,Consumer,54.66
647,CA-2014-158729,2016-12-19,First Class,Consumer,1665.62
650,CA-2014-158967,2016-12-10,First Class,Consumer,19.104
662,CA-2014-161053,2016-09-22,First Class,Consumer,726.91
671,CA-2014-162635,2016-10-09,First Class,Consumer,10.816
673,CA-2014-163335,2016-09-24,First Class,Consumer,79.0
698,US-2011-130358,2013-06-23,First Class,Consumer,23.12
714,US-2012-106495,2014-06-15,First Class,Consumer,11.672
737,US-2013-106600,2015-04-09,First Class,Consumer,354.9
741,US-2013-113649,2015-08-10,First Class,Consumer,645.136
742,US-2013-116400,2015-10-23,First Class,Consumer,39.92
743,US-2013-119298,2015-11-26,First Class,Consumer,59.98
747,US-2013-131891,2015-07-30,First Class,Consumer,2.214
770,US-2013-162677,2015-03-27,First Class,Consumer,187.616
773,US-2013-167472,2015-06-07,First Class,Consumer,678.87
779,US-2014-108063,2016-12-02,First Class,Consumer,34.65
795,US-2014-133781,2016-06-22,First Class,Consumer,37.608
804,US-2014-148831,2016-10-13,First Class,Consumer,348.56
11,CA-2011-103317,2013-07-05,First Class,Corporate,242.546
14,CA-2011-103989,2013-03-19,First Class,Corporate,590.762
16,CA-2011-106054,2013-01-06,First Class,Corporate,12.78
27,CA-2011-111934,2013-05-05,First Class,Corporate,47.32
54,CA-2011-124688,2013-08-27,First Class,Corporate,1812.01
