standing_id,season_id,league_id,position,team_id,played_games,form,,won,draw,lost,points,goals_for,goals_against,goal_difference
21,4,4,1,3,34,"['D', 'D', 'W', 'W', 'W']",,28,6,0,90,89,24,65
22,4,4,2,10,34,"['L', 'D', 'W', 'W', 'W']",,23,4,7,73,78,39,39
23,4,4,3,5,34,"['D', 'L', 'L', 'W', 'L']",,23,3,8,72,94,45,49
24,4,4,4,721,34,"['W', 'W', 'D', 'D', 'D']",,19,8,7,65,77,39,38
25,4,4,5,4,34,"['W', 'W', 'W', 'L', 'W']",,18,9,7,63,68,43,25
26,4,4,6,19,34,"['W', 'L', 'L', 'D', 'D']",,11,14,9,47,51,50,1
27,4,4,7,2,34,"['W', 'L', 'D', 'W', 'W']",,13,7,14,46,66,66,0
28,4,4,8,44,34,"['L', 'W', 'D', 'D', 'W']",,10,12,12,42,50,55,-5
29,4,4,9,12,34,"['W', 'W', 'D', 'D', 'W']",,11,9,14,42,48,54,-6
30,4,4,10,17,34,"['D', 'L', 'D', 'D', 'L']",,11,9,14,42,45,58,-13
31,4,4,11,16,34,"['L', 'L', 'L', 'L', 'L']",,10,9,15,39,50,60,-10
32,4,4,12,11,34,"['W', 'W', 'W', 'L', 'L']",,10,7,17,37,41,56,-15
33,4,4,13,15,34,"['D', 'D', 'D', 'W', 'W']",,7,14,13,35,39,51,-12
34,4,4,14,18,34,"['L', 'D', 'D', 'D', 'L']",,7,13,14,34,56,67,-11
35,4,4,15,28,34,"['L', 'D', 'L', 'L', 'W']",,9,6,19,33,33,58,-25
36,4,4,16,36,34,"['L', 'W', 'W', 'L', 'L']",,7,12,15,33,42,74,-32
37,4,4,17,1,34,"['L', 'D', 'D', 'W', 'L']",,5,12,17,27,28,60,-32
38,4,4,18,55,34,"['W', 'L', 'L', 'L', 'L']",,3,8,23,17,30,86,-56
1,1,1,1,65,38,"['W', 'W', 'W', 'W', 'W']",,28,7,3,91,96,34,62
2,1,1,2,57,38,"['W', 'W', 'W', 'W', 'W']",,28,5,5,89,91,29,62
