standing_id,season_id,league_id,position,team_id,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,form
21,4,4,1,3,34,28,6,0,90,89,24,65,['D'
21,4,4,1,3,34,28,6,0,90,89,24,65,'D'
21,4,4,1,3,34,28,6,0,90,89,24,65,'W'
21,4,4,1,3,34,28,6,0,90,89,24,65,'W'
21,4,4,1,3,34,28,6,0,90,89,24,65,'W']
22,4,4,2,10,34,23,4,7,73,78,39,39,['L'
22,4,4,2,10,34,23,4,7,73,78,39,39,'D'
22,4,4,2,10,34,23,4,7,73,78,39,39,'W'
22,4,4,2,10,34,23,4,7,73,78,39,39,'W'
22,4,4,2,10,34,23,4,7,73,78,39,39,'W']
23,4,4,3,5,34,23,3,8,72,94,45,49,['D'
23,4,4,3,5,34,23,3,8,72,94,45,49,'L'
23,4,4,3,5,34,23,3,8,72,94,45,49,'L'
23,4,4,3,5,34,23,3,8,72,94,45,49,'W'
23,4,4,3,5,34,23,3,8,72,94,45,49,'L']
24,4,4,4,721,34,19,8,7,65,77,39,38,['W'
24,4,4,4,721,34,19,8,7,65,77,39,38,'W'
24,4,4,4,721,34,19,8,7,65,77,39,38,'D'
24,4,4,4,721,34,19,8,7,65,77,39,38,'D'
24,4,4,4,721,34,19,8,7,65,77,39,38,'D']
25,4,4,5,4,34,18,9,7,63,68,43,25,['W'
25,4,4,5,4,34,18,9,7,63,68,43,25,'W'
25,4,4,5,4,34,18,9,7,63,68,43,25,'W'
25,4,4,5,4,34,18,9,7,63,68,43,25,'L'
25,4,4,5,4,34,18,9,7,63,68,43,25,'W']
26,4,4,6,19,34,11,14,9,47,51,50,1,['W'
26,4,4,6,19,34,11,14,9,47,51,50,1,'L'
26,4,4,6,19,34,11,14,9,47,51,50,1,'L'
26,4,4,6,19,34,11,14,9,47,51,50,1,'D'
26,4,4,6,19,34,11,14,9,47,51,50,1,'D']
27,4,4,7,2,34,13,7,14,46,66,66,0,['W'
27,4,4,7,2,34,13,7,14,46,66,66,0,'L'
27,4,4,7,2,34,13,7,14,46,66,66,0,'D'
27,4,4,7,2,34,13,7,14,46,66,66,0,'W'
27,4,4,7,2,34,13,7,14,46,66,66,0,'W']
28,4,4,8,44,34,10,12,12,42,50,55,-5,['L'
28,4,4,8,44,34,10,12,12,42,50,55,-5,'W'
28,4,4,8,44,34,10,12,12,42,50,55,-5,'D'
28,4,4,8,44,34,10,12,12,42,50,55,-5,'D'
28,4,4,8,44,34,10,12,12,42,50,55,-5,'W']
29,4,4,9,12,34,11,9,14,42,48,54,-6,['W'
29,4,4,9,12,34,11,9,14,42,48,54,-6,'W'
29,4,4,9,12,34,11,9,14,42,48,54,-6,'D'
29,4,4,9,12,34,11,9,14,42,48,54,-6,'D'
29,4,4,9,12,34,11,9,14,42,48,54,-6,'W']
30,4,4,10,17,34,11,9,14,42,45,58,-13,['D'
30,4,4,10,17,34,11,9,14,42,45,58,-13,'L'
30,4,4,10,17,34,11,9,14,42,45,58,-13,'D'
30,4,4,10,17,34,11,9,14,42,45,58,-13,'D'
30,4,4,10,17,34,11,9,14,42,45,58,-13,'L']
31,4,4,11,16,34,10,9,15,39,50,60,-10,['L'
31,4,4,11,16,34,10,9,15,39,50,60,-10,'L'
31,4,4,11,16,34,10,9,15,39,50,60,-10,'L'
31,4,4,11,16,34,10,9,15,39,50,60,-10,'L'
31,4,4,11,16,34,10,9,15,39,50,60,-10,'L']
32,4,4,12,11,34,10,7,17,37,41,56,-15,['W'
32,4,4,12,11,34,10,7,17,37,41,56,-15,'W'
32,4,4,12,11,34,10,7,17,37,41,56,-15,'W'
