,,Ship Mode,First Class,,,Same Day,,,Second Class,,,Standard Class,,
,,Segment,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office
Ctstomer_id,Order ID,Order Date,,,,,,,,,,,,
1,CA-2011-100293,14-Mar-13,,,,,,,,,,,,91.056
2,CA-2011-100706,16-Dec-13,,,,,,,129.44,,,,,
3,CA-2011-100895,2-Jun-13,,,,,,,,,,605.47,,
4,CA-2011-100916,21-Oct-13,,,,,,,,,,,788.86,
5,CA-2011-101266,27-Aug-13,,,,,,,13.36,,,,,
6,CA-2011-101560,28-Nov-13,,,,,,,,542.34,,,,
7,CA-2011-101770,31-Mar-13,,,,,,,,,,,1.869,
8,CA-2011-102274,21-Nov-13,,,,,,,,,,,865.5,
9,CA-2011-102673,1-Nov-13,,,,,,,,,,,1044.44,
10,CA-2011-102988,5-Apr-13,,,,,,,,4251.92,,,,
11,CA-2011-103317,5-Jul-13,,242.546,,,,,,,,,,
12,CA-2011-103366,15-Jan-13,149.95,,,,,,,,,,,
13,CA-2011-103807,2-Dec-13,,,,,,,,,,,21.19,
14,CA-2011-103989,19-Mar-13,,590.762,,,,,,,,,,
15,CA-2011-104283,27-Jun-13,,,,,,,,,,616.14,,
16,CA-2011-106054,6-Jan-13,,12.78,,,,,,,,,,
17,CA-2011-106810,14-May-13,,,,,,,,,,,310.88,
18,CA-2011-107573,12-Dec-13,,,,,,,,,,23.472,,
19,CA-2011-107811,29-Apr-13,,,,,,,,,,,661.504,
20,CA-2011-108707,24-Oct-13,,,,,,,,,,,,10.368
21,CA-2011-109043,15-Aug-13,243.6,,,,,,,,,,,
22,CA-2011-109232,13-Jan-13,,,,,,,545.94,,,,,
23,CA-2011-110100,25-Apr-13,,,,,,,,,,302.376,,
24,CA-2011-110408,18-Oct-13,,,,,,,,2216.8,,,,
25,CA-2011-110422,21-Jan-13,,,,,,,25.248,,,,,
26,CA-2011-111500,17-Aug-13,,,,,,,,,,,484.79,
27,CA-2011-111934,5-May-13,,47.32,,,,,,,,,,
28,CA-2011-112718,16-Dec-13,,,,,,,,,,,1.167,
29,CA-2011-113047,24-Oct-13,,,,11.85,,,,,,,,
30,CA-2011-113166,24-Dec-13,9.568,,,,,,,,,,,
31,CA-2011-114314,11-Oct-13,,,,,,,,,,,16.23,
32,CA-2011-114321,20-Aug-13,,,,,,,,,,,1417.35,
33,CA-2011-114335,28-Sep-13,,,,,,,,,,337.088,,
34,CA-2011-114790,11-Mar-13,,,,,,,,782.63,,,,
35,CA-2011-115084,18-Oct-13,,,,,,,,,,,605.34,
36,CA-2011-115357,6-Aug-13,,,,,,,62.91,,,,,
37,CA-2011-116190,26-Jul-13,,,,,,,,,,256.48,,
38,CA-2011-116239,4-Mar-13,,,,354.9,,,,,,,,
39,CA-2011-116407,15-Nov-13,,,,,,,,,,362.176,,
40,CA-2011-116568,14-Dec-13,,,,,,,,,,186.304,,
41,CA-2011-117016,4-Mar-13,,,,,,,,,,15.552,,
42,CA-2011-117345,1-Aug-13,,,,,,,,,,,202.896,
43,CA-2011-117639,21-May-13,,,,,,,,,,,3333.9,
44,CA-2011-120432,24-Aug-13,,,,,,,,25.5,,,,
45,CA-2011-120670,2-Nov-13,,,,,,,,,,,,799.92
46,CA-2011-120768,19-Dec-13,,,,,,,1979.89,,,,,
47,CA-2011-120950,6-Nov-13,,,,,,,,,,43.68,,
48,CA-2011-121286,4-Nov-13,,,,,,,,66.616,,,,
49,CA-2011-122217,24-Nov-13,,,,,,,,,,,,111.15
50,CA-2011-123400,2-Feb-13,,,,,,,,,,199.296,,
51,CA-2011-123925,17-Dec-13,,,,,,,40.05,,,,,
52,CA-2011-124023,7-Apr-13,8.96,,,,,,,,,,,
53,CA-2011-124618,2-May-13,,,,,,,479.984,,,,,
54,CA-2011-124688,27-Aug-13,,1812.01,,,,,,,,,,
55,CA-2011-125136,28-Sep-13,,,,,,,,,,,106.944,
56,CA-2011-125682,22-Nov-13,,9.96,,,,,,,,,,
57,CA-2011-127299,19-Sep-13,,,,,,,,,,2692.329,,
58,CA-2011-127488,22-Sep-13,,,,,,,4.608,,,,,
59,CA-2011-127614,11-Feb-13,,,,,,,,,,1508.13,,
60,CA-2011-128839,8-Sep-13,,,,,,,,,,254.97,,
61,CA-2011-128846,7-Apr-13,,,,,,,,,,,752.92,
62,CA-2011-129091,22-Nov-13,,,,,,,,,,,1022.61,
63,CA-2011-129819,13-Dec-13,,,,,,,,12.39,,,,
64,CA-2011-130155,19-May-13,34.2,,,,,,,,,,,
65,CA-2011-130428,31-Mar-13,,,,1142.165,,,,,,,,
66,CA-2011-130918,22-Aug-13,,,,,,,7.632,,,,,
67,CA-2011-131527,1-Dec-13,,,,,,,,,,95.968,,
68,CA-2011-131541,28-Jul-13,,,,193.152,,,,,,,,
69,CA-2011-131905,6-Feb-13,,321.56,,,,,,,,,,
