Order ID,Segment>>,Ship Mode>>,Value
CA-2011-103366,Consumer,First Class,149.95
CA-2011-109043,Consumer,First Class,243.6
CA-2011-113166,Consumer,First Class,9.568
CA-2011-124023,Consumer,First Class,8.96
CA-2011-130155,Consumer,First Class,34.2
CA-2011-136861,Consumer,First Class,31.984
CA-2011-153927,Consumer,First Class,286.65
CA-2011-157784,Consumer,First Class,514.03
CA-2011-160094,Consumer,First Class,1000.95
CA-2011-164749,Consumer,First Class,9.912
CA-2011-166730,Consumer,First Class,39.128
CA-2012-102722,Consumer,First Class,106.5
CA-2012-102778,Consumer,First Class,18.176
CA-2012-117828,Consumer,First Class,194.32
CA-2012-130218,Consumer,First Class,59.48
CA-2012-132318,Consumer,First Class,182.91
CA-2012-137974,Consumer,First Class,2298.9
CA-2012-138625,Consumer,First Class,197.72
CA-2012-141327,Consumer,First Class,440.144
CA-2012-149300,Consumer,First Class,32.985
CA-2012-150560,Consumer,First Class,196.62
CA-2012-165414,Consumer,First Class,47.976
CA-2013-102092,Consumer,First Class,1056.86
CA-2013-102498,Consumer,First Class,73.2
CA-2013-110492,Consumer,First Class,1366.04
CA-2013-119515,Consumer,First Class,15.552
CA-2013-119823,Consumer,First Class,75.88
CA-2013-124772,Consumer,First Class,191.82
CA-2013-125843,Consumer,First Class,125.92
CA-2013-130442,Consumer,First Class,34.944
CA-2013-133872,Consumer,First Class,58.4
CA-2013-145247,Consumer,First Class,79.14
CA-2013-145499,Consumer,First Class,3.282
CA-2013-147368,Consumer,First Class,695.7
CA-2013-157280,Consumer,First Class,1120.73
CA-2013-157364,Consumer,First Class,18.48
CA-2013-164784,Consumer,First Class,377.346
CA-2014-103212,Consumer,First Class,1541.51
CA-2014-105620,Consumer,First Class,141.0
CA-2014-108287,Consumer,First Class,12.672
CA-2014-109589,Consumer,First Class,71.0
CA-2014-110198,Consumer,First Class,318.96
CA-2014-112774,Consumer,First Class,34.504
CA-2014-115448,Consumer,First Class,88.92
CA-2014-121314,Consumer,First Class,251.64
CA-2014-121818,Consumer,First Class,52.696
CA-2014-122154,Consumer,First Class,284.19
CA-2014-122994,Consumer,First Class,359.97
CA-2014-125472,Consumer,First Class,253.86
CA-2014-126774,Consumer,First Class,4.89
CA-2014-133235,Consumer,First Class,271.96
CA-2014-138779,Consumer,First Class,29.664
CA-2014-143756,Consumer,First Class,701.96
CA-2014-151218,Consumer,First Class,4.464
CA-2014-156769,Consumer,First Class,54.66
CA-2014-158729,Consumer,First Class,1665.62
CA-2014-158967,Consumer,First Class,19.104
CA-2014-161053,Consumer,First Class,726.91
CA-2014-162635,Consumer,First Class,10.816
CA-2014-163335,Consumer,First Class,79.0
US-2011-130358,Consumer,First Class,23.12
US-2012-106495,Consumer,First Class,11.672
US-2013-106600,Consumer,First Class,354.9
US-2013-113649,Consumer,First Class,645.136
US-2013-116400,Consumer,First Class,39.92
US-2013-119298,Consumer,First Class,59.98
US-2013-131891,Consumer,First Class,2.214
US-2013-162677,Consumer,First Class,187.616
US-2013-167472,Consumer,First Class,678.87
US-2014-108063,Consumer,First Class,34.65
US-2014-133781,Consumer,First Class,37.608
US-2014-148831,Consumer,First Class,348.56
Grand Total,Consumer,First Class,20802.173
CA-2011-113047,Consumer,Same Day,11.85
CA-2011-116239,Consumer,Same Day,354.9
CA-2011-130428,Consumer,Same Day,1142.165
CA-2011-131541,Consumer,Same Day,193.152
CA-2011-142951,Consumer,Same Day,23.472
CA-2011-152254,Consumer,Same Day,310.688
CA-2012-117884,Consumer,Same Day,598.352
CA-2012-136224,Consumer,Same Day,10.272
CA-2012-155068,Consumer,Same Day,78.456
CA-2013-101378,Consumer,Same Day,29.0
CA-2013-105256,Consumer,Same Day,1363.96
CA-2013-106894,Consumer,Same Day,107.83
CA-2013-127698,Consumer,Same Day,863.928
CA-2013-143308,Consumer,Same Day,10.74
CA-2013-144344,Consumer,Same Day,314.393
CA-2013-152163,Consumer,Same Day,85.5
CA-2013-152471,Consumer,Same Day,839.944
CA-2013-159653,Consumer,Same Day,14.73
CA-2014-103065,Consumer,Same Day,59.824
CA-2014-122987,Consumer,Same Day,80.564
CA-2014-144498,Consumer,Same Day,817.829
CA-2014-158883,Consumer,Same Day,25.344
US-2011-114377,Consumer,Same Day,149.9
US-2013-134761,Consumer,Same Day,36.192
US-2013-148803,Consumer,Same Day,85.224
US-2013-156692,Consumer,Same Day,89.32
US-2014-120607,Consumer,Same Day,195.64
US-2014-152492,Consumer,Same Day,239.24
Grand Total,Consumer,Same Day,8132.409
CA-2011-100706,Consumer,Second Class,129.44
CA-2011-101266,Consumer,Second Class,13.36
CA-2011-109232,Consumer,Second Class,545.94
CA-2011-110422,Consumer,Second Class,25.248
CA-2011-115357,Consumer,Second Class,62.91
CA-2011-120768,Consumer,Second Class,1979.89
CA-2011-123925,Consumer,Second Class,40.05
CA-2011-124618,Consumer,Second Class,479.984
CA-2011-127488,Consumer,Second Class,4.608
CA-2011-130918,Consumer,Second Class,7.632
CA-2011-132612,Consumer,Second Class,1441.3
CA-2011-142727,Consumer,Second Class,69.9
CA-2011-145576,Consumer,Second Class,26.128
CA-2011-154158,Consumer,Second Class,619.848
CA-2011-155852,Consumer,Second Class,19.456
CA-2011-156006,Consumer,Second Class,47.79
CA-2011-156790,Consumer,Second Class,155.456
CA-2011-158470,Consumer,Second Class,129.33
CA-2011-166457,Consumer,Second Class,40.54
CA-2011-169775,Consumer,Second Class,709.0425
CA-2012-109386,Consumer,Second Class,750.93
CA-2012-110345,Consumer,Second Class,4.608
CA-2012-116638,Consumer,Second Class,4297.644
CA-2012-128027,Consumer,Second Class,269.49
CA-2012-134257,Consumer,Second Class,498.93
CA-2012-150749,Consumer,Second Class,5.56
CA-2012-153325,Consumer,Second Class,58.72
CA-2012-153752,Consumer,Second Class,173.94
CA-2012-155600,Consumer,Second Class,1635.018
CA-2012-169733,Consumer,Second Class,9.952
CA-2013-101525,Consumer,Second Class,140.52
CA-2013-109722,Consumer,Second Class,1284.8
CA-2013-113292,Consumer,Second Class,871.8
CA-2013-116918,Consumer,Second Class,36.364
CA-2013-120873,Consumer,Second Class,290.98
CA-2013-123176,Consumer,Second Class,31.83
CA-2013-131065,Consumer,Second Class,513.52
CA-2013-136231,Consumer,Second Class,228.586
CA-2013-137043,Consumer,Second Class,859.14
CA-2013-140543,Consumer,Second Class,191.88
CA-2013-141180,Consumer,Second Class,7.764
CA-2013-149783,Consumer,Second Class,131.104
CA-2013-149979,Consumer,Second Class,487.22
CA-2013-152156,Consumer,Second Class,993.9
CA-2013-154690,Consumer,Second Class,225.296
CA-2013-155670,Consumer,Second Class,21.504
CA-2013-158841,Consumer,Second Class,8805.04
CA-2013-159765,Consumer,Second Class,27.86
CA-2013-162355,Consumer,Second Class,1302.83
CA-2013-164735,Consumer,Second Class,81.2
CA-2013-168753,Consumer,Second Class,1002.7
CA-2013-168893,Consumer,Second Class,903.77
CA-2013-169334,Consumer,Second Class,111.672
CA-2014-101210,Consumer,Second Class,13.152
CA-2014-101273,Consumer,Second Class,14.336
CA-2014-101483,Consumer,Second Class,61.216
CA-2014-102309,Consumer,Second Class,212.91
CA-2014-107209,Consumer,Second Class,194.848
CA-2014-107461,Consumer,Second Class,23.88
CA-2014-113705,Consumer,Second Class,874.8
CA-2014-123239,Consumer,Second Class,91.032
CA-2014-127726,Consumer,Second Class,209.88
CA-2014-128629,Consumer,Second Class,18.84
CA-2014-128699,Consumer,Second Class,47.992
CA-2014-129021,Consumer,Second Class,4590.344
CA-2014-129462,Consumer,Second Class,740.59
CA-2014-130834,Consumer,Second Class,16.272
CA-2014-139353,Consumer,Second Class,273.088
CA-2014-140088,Consumer,Second Class,301.96
CA-2014-144694,Consumer,Second Class,253.824
CA-2014-145310,Consumer,Second Class,7.824
CA-2014-146458,Consumer,Second Class,22.96
CA-2014-155159,Consumer,Second Class,48.87
CA-2014-155705,Consumer,Second Class,866.4
CA-2014-160458,Consumer,Second Class,25.92
CA-2014-161200,Consumer,Second Class,161.14
CA-2014-163321,Consumer,Second Class,79.992
CA-2014-163510,Consumer,Second Class,400.39
CA-2014-165204,Consumer,Second Class,728.968
CA-2014-167941,Consumer,Second Class,831.368
US-2011-102715,Consumer,Second Class,737.2
US-2011-117135,Consumer,Second Class,425.67
US-2012-136749,Consumer,Second Class,433.78
US-2012-151435,Consumer,Second Class,85.98
US-2013-120929,Consumer,Second Class,189.882
US-2013-142251,Consumer,Second Class,32.064
US-2014-135062,Consumer,Second Class,229.544
US-2014-153633,Consumer,Second Class,2.064
US-2014-158526,Consumer,Second Class,1814.68
US-2014-163195,Consumer,Second Class,29.16
US-2014-167920,Consumer,Second Class,1827.51
Grand Total,Consumer,Second Class,49724.2545
CA-2011-100895,Consumer,Standard Class,605.47
CA-2011-104283,Consumer,Standard Class,616.14
CA-2011-107573,Consumer,Standard Class,23.472
CA-2011-110100,Consumer,Standard Class,302.376
CA-2011-114335,Consumer,Standard Class,337.088
CA-2011-116190,Consumer,Standard Class,256.48
CA-2011-116407,Consumer,Standard Class,362.176
CA-2011-116568,Consumer,Standard Class,186.304
CA-2011-117016,Consumer,Standard Class,15.552
CA-2011-120950,Consumer,Standard Class,43.68
CA-2011-123400,Consumer,Standard Class,199.296
CA-2011-127299,Consumer,Standard Class,2692.329
CA-2011-127614,Consumer,Standard Class,1508.13
CA-2011-128839,Consumer,Standard Class,254.97
CA-2011-131527,Consumer,Standard Class,95.968
CA-2011-134551,Consumer,Standard Class,732.312
CA-2011-138296,Consumer,Standard Class,24.56
CA-2011-138709,Consumer,Standard Class,37.44
CA-2011-140886,Consumer,Standard Class,69.216
CA-2011-143182,Consumer,Standard Class,15.384
CA-2011-143840,Consumer,Standard Class,180.93
CA-2011-146731,Consumer,Standard Class,147.344
CA-2011-149958,Consumer,Standard Class,370.782
CA-2011-152268,Consumer,Standard Class,1793.98
CA-2011-155390,Consumer,Standard Class,42.208
CA-2011-159184,Consumer,Standard Class,149.56
CA-2011-159681,Consumer,Standard Class,105.52
CA-2011-161634,Consumer,Standard Class,32.4
CA-2011-163013,Consumer,Standard Class,14.67
CA-2011-164315,Consumer,Standard Class,1220.67
CA-2011-165764,Consumer,Standard Class,1395.673
CA-2011-166051,Consumer,Standard Class,773.7
CA-2011-169257,Consumer,Standard Class,63.381
CA-2012-100888,Consumer,Standard Class,47.952
CA-2012-101868,Consumer,Standard Class,175.32
CA-2012-102491,Consumer,Standard Class,3747.93
CA-2012-102582,Consumer,Standard Class,1918.79
CA-2012-103093,Consumer,Standard Class,74.52
CA-2012-104115,Consumer,Standard Class,55.984
CA-2012-107678,Consumer,Standard Class,893.09
CA-2012-108119,Consumer,Standard Class,301.96
CA-2012-110247,Consumer,Standard Class,8.226
CA-2012-111199,Consumer,Standard Class,115.296
CA-2012-111703,Consumer,Standard Class,27.504
CA-2012-112375,Consumer,Standard Class,78.192
CA-2012-114300,Consumer,Standard Class,371.66
CA-2012-114503,Consumer,Standard Class,84.96
CA-2012-115938,Consumer,Standard Class,535.36
CA-2012-118444,Consumer,Standard Class,387.136
CA-2012-118843,Consumer,Standard Class,199.86
CA-2012-119480,Consumer,Standard Class,364.07
CA-2012-119634,Consumer,Standard Class,46.152
CA-2012-120516,Consumer,Standard Class,5.64
CA-2012-120621,Consumer,Standard Class,1270.379
CA-2012-122266,Consumer,Standard Class,194.1395
CA-2012-123092,Consumer,Standard Class,288.85
CA-2012-123330,Consumer,Standard Class,107.976
CA-2012-125563,Consumer,Standard Class,121.888
CA-2012-125976,Consumer,Standard Class,2026.78
CA-2012-128139,Consumer,Standard Class,365.91
CA-2012-129098,Consumer,Standard Class,30.84
CA-2012-133242,Consumer,Standard Class,1046.47
CA-2012-134719,Consumer,Standard Class,1801.632
CA-2012-134782,Consumer,Standard Class,105.42
CA-2012-134894,Consumer,Standard Class,436.86
CA-2012-136147,Consumer,Standard Class,233.064
CA-2012-138457,Consumer,Standard Class,13.092
CA-2012-141145,Consumer,Standard Class,87.168
CA-2012-141565,Consumer,Standard Class,1664.132
